Name_EN,Name_FR,Location,Date,Start time,End time,Type
Cloud-shaped gnocchi making,Création de gnocchi en forme de nuage,Atrium Cirrus,2023-01-26,12PM,1PM,Workshop
Cloudy Jazz,Jazz nuageux,Nimbostratus Theatre,2023-01-27,8PM,10PM,Show
Crisp or chip: Which name is more accurate?,Crisp ou chip: Quel nom a le plus rapport? ,Stratus Room,2023-01-27,2PM,3:30PM,Discussion Panel
How to take better cloud photos,Comment prendre des meilleures photos de nuage,Stratus Room,2023-01-27,12PM,1PM,Workshop
Late Afternoon Cloud Watching,Observation des nuages en fin d’après-midi,Atrium Cirrus,2023-01-26,3:30PM,5PM,Workshop
Make Your Own Breakfast Potatoes,Fais tes propres patates déjeuner,Atrium Cirrus,2023-01-27,9AM,10AM,Workshop
Mr & Mrs Potato Head,Monsieur et Mme Patate,Cumulus Stage,2023-01-27,4PM,6PM,Show
Potato Skins Dance crew,La troupe de danse Potato Skins,Nimbostratus Theatre,2023-01-26,8PM,9:30PM,Show
Potato stamps for the whole family,Étampes en patate pour toute la famille,Stratus Room,2023-01-26,4PM,5:30PM,Workshop
Potatoes after dark,Pommes de terre after dark,Cumulus Stage,2023-01-26,10PM,11:30PM,Show
Recent innovation in mashed potato tools,Innovation récentes dans les outils à patates pilées,Atrium Cirrus,2023-01-26,2PM,3PM,Discussion Panel
Sweet potatoes: overrated?,Patates douces: overrated?,Stratus Room,2023-01-26,1:30PM,2:30PM,Discussion Panel
The best cloud shape in 2023,La meilleure forme de nuage en 2023,Stratus Room,2023-01-27,4PM,5PM,Discussion Panel
The Hash Brown Band,The Hash Brown Band,Cumulus Stage,2023-01-26,7PM,9PM,Show
Yukon Gold opera,L’opéra Yukon Gold,Nimbostratus Theatre,2023-01-26,3:15PM,4PM,Show